
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server
  2025-08-11 14:28:30 /build/assets/fa-solid-900-BQpGBb1f.woff2 .... ~ 0.32ms
  2025-08-11 14:28:30 /favicon.svg ............................... ~ 500.51ms
  2025-08-11 14:28:30 /favicon.ico ................................. ~ 0.04ms
  2025-08-11 14:28:37 /theme/update .............................. ~ 500.36ms
  2025-08-11 14:28:37 /login ....................................... ~ 0.04ms
  2025-08-11 14:28:38 /theme/update ................................ ~ 0.18ms
  2025-08-11 14:28:38 /login ....................................... ~ 0.10ms
  2025-08-11 14:28:42 /theme/update ................................ ~ 0.58ms
  2025-08-11 14:28:42 /login ..................................... ~ 500.63ms
  2025-08-11 14:28:44 /theme/update ................................ ~ 0.12ms
  2025-08-11 14:28:44 /login ....................................... ~ 0.11ms
  2025-08-11 14:29:26 /theme/update .............................. ~ 500.45ms
  2025-08-11 14:29:26 /login ....................................... ~ 0.08ms
  2025-08-11 14:29:28 /theme/update ................................ ~ 0.14ms
  2025-08-11 14:29:28 /login ..................................... ~ 500.42ms
  2025-08-11 14:29:30 /theme/update ................................ ~ 0.17ms
  2025-08-11 14:29:30 /login ....................................... ~ 0.23ms
  91.196.152.104:42273 Invalid request (Unsupported SSL request)
  2025-08-11 14:33:34 .................................................. ~ 3s
  2025-08-11 14:33:42 / ................................................ ~ 5s
  2025-08-11 14:37:31 /login ..................................... ~ 500.38ms
  2025-08-11 14:37:31 /build/assets/app-B-bcC63G.css ............... ~ 0.08ms
  2025-08-11 14:37:31 /build/assets/login-DRBtIL6x.js .............. ~ 0.41ms
  2025-08-11 14:37:31 /build/assets/app-oyCljiEZ.js ................ ~ 0.72ms
  2025-08-11 14:37:31 /build/assets/label-BZbX2hcG.js .............. ~ 1.03ms
  2025-08-11 14:37:31 /build/assets/text-link-C6bE4xWh.js .......... ~ 1.33ms
  2025-08-11 14:37:31 /build/assets/use-theme-B7rg8lH5.js .......... ~ 1.57ms
  2025-08-11 14:37:32 /build/assets/auth-layout-CuGvAxKm.js ........ ~ 0.40ms
  2025-08-11 14:37:32 /build/assets/app-B-bcC63G.css ............... ~ 1.02ms
  2025-08-11 14:37:32 /build/assets/fa-solid-900-BQpGBb1f.woff2 .... ~ 0.13ms
  2025-08-11 14:37:32 /favicon.svg ................................. ~ 0.03ms
  2025-08-11 14:37:33 /favicon.ico ............................... ~ 500.69ms
  2025-08-11 14:37:38 /login ....................................... ~ 0.40ms
  2025-08-11 14:37:39 /build/assets/app-B-bcC63G.css ............. ~ 513.06ms
  2025-08-11 14:37:39 /build/assets/app-oyCljiEZ.js .............. ~ 519.10ms
  2025-08-11 14:37:39 /build/assets/login-DRBtIL6x.js ............. ~ 22.83ms
  2025-08-11 14:37:39 /build/assets/label-BZbX2hcG.js ............. ~ 23.24ms
  2025-08-11 14:37:39 /build/assets/text-link-C6bE4xWh.js ......... ~ 23.53ms
  2025-08-11 14:37:39 /build/assets/use-theme-B7rg8lH5.js ......... ~ 23.88ms
  2025-08-11 14:37:39 /build/assets/auth-layout-CuGvAxKm.js ............ ~ 1s
  2025-08-11 14:37:40 /build/assets/app-B-bcC63G.css ............... ~ 2.09ms
  2025-08-11 14:37:41 /favicon.svg ................................. ~ 1.70ms
  2025-08-11 14:37:41 /build/assets/fa-solid-900-BQpGBb1f.woff2 .... ~ 2.53ms
  2025-08-11 14:37:41 /favicon.ico ................................. ~ 0.37ms
  2025-08-11 14:37:43 /theme/update ................................ ~ 0.46ms
  2025-08-11 14:37:43 /login ..................................... ~ 502.90ms
  2025-08-11 14:37:47 /login ....................................... ~ 0.13ms
  2025-08-11 14:37:48 /build/assets/app-CvGH4MUy.css ............. ~ 500.46ms
  2025-08-11 14:37:48 /build/assets/app-CH6wI-cK.js ................ ~ 1.24ms
  2025-08-11 14:37:48 /build/assets/login-DEahP1Yr.js .............. ~ 1.75ms
  2025-08-11 14:37:48 /build/assets/label-Cj8qFd35.js .............. ~ 2.32ms
  2025-08-11 14:37:48 /build/assets/text-link-DCQM78RL.js .......... ~ 2.80ms
  2025-08-11 14:37:48 /build/assets/use-theme-CK5R3yIO.js .......... ~ 3.28ms
  2025-08-11 14:37:48 /build/assets/card-YRKD9JAc.js ............. ~ 500.45ms
  2025-08-11 14:37:49 /build/assets/auth-layout-CPN-qB3K.js ........ ~ 0.67ms
  2025-08-11 14:37:49 /build/assets/app-CvGH4MUy.css ............... ~ 0.86ms
  2025-08-11 14:37:49 /favicon.svg ................................. ~ 0.57ms
  2025-08-11 14:37:49 /build/assets/fa-solid-900-BQpGBb1f.woff2 .... ~ 1.36ms
  2025-08-11 14:37:50 /favicon.ico ............................... ~ 500.50ms
  2025-08-11 14:37:56 /theme/update ................................ ~ 0.27ms
  2025-08-11 14:37:56 /login ..................................... ~ 500.41ms
  2025-08-11 14:39:30 /login ....................................... ~ 0.14ms
  2025-08-11 14:39:30 /build/assets/login-DEahP1Yr.js .............. ~ 0.22ms
  2025-08-11 14:39:30 /build/assets/app-CvGH4MUy.css ............... ~ 0.97ms
  2025-08-11 14:39:30 /build/assets/app-CH6wI-cK.js ................ ~ 1.66ms
  2025-08-11 14:39:30 /build/assets/label-Cj8qFd35.js .............. ~ 2.25ms
  2025-08-11 14:39:30 /build/assets/text-link-DCQM78RL.js .......... ~ 2.76ms
  2025-08-11 14:39:30 /build/assets/use-theme-CK5R3yIO.js .......... ~ 3.22ms
  2025-08-11 14:39:31 /build/assets/card-YRKD9JAc.js ................... ~ 2s
  2025-08-11 14:39:32 /build/assets/auth-layout-CPN-qB3K.js ............ ~ 1s
  2025-08-11 14:39:33 /build/assets/app-CvGH4MUy.css ............. ~ 501.40ms
  2025-08-11 14:39:34 /build/assets/fa-solid-900-BQpGBb1f.woff2 .... ~ 0.29ms
  2025-08-11 14:39:34 /favicon.svg ................................. ~ 0.69ms
  2025-08-11 14:39:35 /favicon.ico ............................... ~ 500.43ms
  2025-08-11 14:41:22 /register .................................... ~ 0.13ms
  2025-08-11 14:41:22 /build/assets/register-DfDdjqOt.js ........... ~ 0.12ms
  2025-08-11 14:42:10 /favicon.ico ............................... ~ 500.70ms
  2025-08-11 14:42:10 /login ........................................... ~ 3s
  2025-08-11 14:47:08 /register .................................... ~ 0.13ms
  2025-08-11 14:47:09 /build/assets/app-CvGH4MUy.css ............... ~ 0.24ms
  2025-08-11 14:47:09 /build/assets/app-CiHPhRLz.js ................ ~ 0.71ms
  2025-08-11 14:47:09 /build/assets/register-D-043zbn.js ........... ~ 1.06ms
  2025-08-11 14:47:09 /build/assets/label-C8ChJ1y_.js .............. ~ 1.35ms
  2025-08-11 14:47:09 /build/assets/text-link-lQ5NN7aP.js .......... ~ 1.69ms
  2025-08-11 14:47:09 /build/assets/use-theme-DZDL7pKZ.js .......... ~ 1.90ms
  2025-08-11 14:47:09 /build/assets/card-c1xZbGYv.js ............... ~ 0.17ms
  2025-08-11 14:47:09 /build/assets/auth-layout-DxEz-x_k.js ........ ~ 0.54ms
  2025-08-11 14:47:09 /build/assets/app-CvGH4MUy.css ............... ~ 0.71ms
  2025-08-11 14:47:10 /build/assets/fa-solid-900-BQpGBb1f.woff2 .... ~ 0.26ms
  2025-08-11 14:47:10 /favicon.svg ............................... ~ 500.90ms
  2025-08-11 14:47:10 /favicon.ico ................................. ~ 0.12ms
  2025-08-11 14:47:13 /theme/update ................................ ~ 0.19ms
  2025-08-11 14:47:13 /register .................................... ~ 0.04ms
  2025-08-11 14:47:14 /register .................................. ~ 500.50ms
  2025-08-11 14:47:15 /build/assets/app-CvGH4MUy.css ............... ~ 0.15ms
  2025-08-11 14:47:15 /build/assets/app-CiHPhRLz.js ................ ~ 1.17ms
  2025-08-11 14:47:15 /build/assets/register-D-043zbn.js ........... ~ 1.57ms
  2025-08-11 14:47:15 /build/assets/label-C8ChJ1y_.js .............. ~ 1.85ms
  2025-08-11 14:47:15 /build/assets/text-link-lQ5NN7aP.js .......... ~ 2.16ms
  2025-08-11 14:47:15 /build/assets/use-theme-DZDL7pKZ.js .......... ~ 2.36ms
  2025-08-11 14:47:16 /build/assets/card-c1xZbGYv.js ............... ~ 0.12ms
  2025-08-11 14:47:16 /build/assets/auth-layout-DxEz-x_k.js ........ ~ 0.48ms
  2025-08-11 14:47:16 /build/assets/app-CvGH4MUy.css ............... ~ 0.93ms
  2025-08-11 14:47:16 /build/assets/fa-solid-900-BQpGBb1f.woff2 .... ~ 0.14ms
  2025-08-11 14:47:17 /favicon.svg ............................... ~ 500.41ms
  2025-08-11 14:47:17 /favicon.ico ................................. ~ 0.04ms
  2025-08-11 14:47:19 /theme/update ................................ ~ 0.30ms
  2025-08-11 14:47:19 /register .................................... ~ 0.04ms
  2025-08-11 14:47:21 /register .................................... ~ 0.21ms
  2025-08-11 14:47:21 /build/assets/app-CvGH4MUy.css ............... ~ 0.18ms
  2025-08-11 14:47:21 /build/assets/app-CiHPhRLz.js ................ ~ 0.59ms
  2025-08-11 14:47:21 /build/assets/register-D-043zbn.js ........... ~ 0.96ms
  2025-08-11 14:47:21 /build/assets/label-C8ChJ1y_.js .............. ~ 1.20ms
  2025-08-11 14:47:21 /build/assets/text-link-lQ5NN7aP.js .......... ~ 1.54ms
  2025-08-11 14:47:21 /build/assets/use-theme-DZDL7pKZ.js .......... ~ 1.76ms
  2025-08-11 14:47:22 /build/assets/card-c1xZbGYv.js ............. ~ 500.78ms
  2025-08-11 14:47:22 /build/assets/auth-layout-DxEz-x_k.js ........ ~ 0.53ms
  2025-08-11 14:47:22 /build/assets/app-CvGH4MUy.css ............... ~ 0.73ms
  2025-08-11 14:47:23 /favicon.svg ................................. ~ 0.22ms
  2025-08-11 14:47:23 /build/assets/fa-solid-900-BQpGBb1f.woff2 .. ~ 501.42ms
  2025-08-11 14:47:23 /favicon.ico ................................. ~ 0.05ms
  2025-08-11 14:47:26 /login ....................................... ~ 0.15ms
  2025-08-11 14:47:26 /build/assets/login-BqrkEpCS.js .............. ~ 0.15ms
  2025-08-11 14:47:26 /build/assets/createLucideIcon-CvGwN5QB.js ... ~ 0.50ms
  2025-08-11 14:48:16 / ............................................ ~ 0.30ms
  2025-08-11 14:48:16 /login ....................................... ~ 0.14ms
  2025-08-11 14:51:00 /login ........................................... ~ 3s
  2025-08-11 14:51:36 /favicon.ico ..................................... ~ 4s
  2025-08-11 14:53:37 /login ....................................... ~ 0.62ms
  2025-08-11 14:53:38 /build/assets/app-CvGH4MUy.css ............... ~ 0.08ms
  2025-08-11 14:53:38 /build/assets/login-hBjXn2h0.js .............. ~ 0.41ms
  2025-08-11 14:53:38 /build/assets/label-CWn2L9uM.js .............. ~ 0.72ms
  2025-08-11 14:53:38 /build/assets/text-link-BjnA-yLT.js .......... ~ 0.99ms
  2025-08-11 14:53:38 /build/assets/use-theme-CVHFQ0Da.js .......... ~ 1.21ms
  2025-08-11 14:53:38 /build/assets/app-Ck5aRrcg.js ................ ~ 1.49ms
  2025-08-11 14:53:38 /build/assets/createLucideIcon-BIm7_POE.js ....... ~ 1s
  2025-08-11 14:53:39 /build/assets/card-DW5YprqX.js ................... ~ 1s
  2025-08-11 14:53:39 /build/assets/auth-layout-DzbDFDuK.js ............ ~ 1s
  2025-08-11 14:53:39 /build/assets/login-hBjXn2h0.js ............ ~ 501.97ms
  2025-08-11 14:53:39 /build/assets/label-CWn2L9uM.js ............ ~ 502.24ms
  2025-08-11 14:53:39 /build/assets/text-link-BjnA-yLT.js ........ ~ 502.49ms
  2025-08-11 14:53:39 /build/assets/use-theme-CVHFQ0Da.js .......... ~ 2.58ms
  2025-08-11 14:53:40 /build/assets/app-Ck5aRrcg.js .............. ~ 500.43ms
  2025-08-11 14:53:40 /build/assets/createLucideIcon-BIm7_POE.js . ~ 500.82ms
  2025-08-11 14:53:40 /build/assets/card-DW5YprqX.js ............. ~ 500.91ms
  2025-08-11 14:53:40 /build/assets/app-CvGH4MUy.css ............. ~ 501.20ms
  2025-08-11 14:53:40 /build/assets/auth-layout-DzbDFDuK.js ...... ~ 501.47ms
  2025-08-11 14:53:41 /build/assets/fa-solid-900-BQpGBb1f.woff2 .... ~ 0.15ms
  2025-08-11 14:53:41 /favicon.svg ................................. ~ 0.30ms
  2025-08-11 14:53:41 /favicon.ico ................................. ~ 0.13ms
  2025-08-11 14:53:44 /register .................................... ~ 1.02ms
  2025-08-11 14:53:44 /build/assets/register-YyMx5von.js ........... ~ 0.22ms
  2025-08-11 14:53:47 /login ....................................... ~ 0.13ms
  2025-08-11 14:53:48 /forgot-password ............................. ~ 0.13ms
  2025-08-11 14:53:48 /build/assets/forgot-password-CrCeUTL6.js .. ~ 500.51ms
  2025-08-11 14:53:54 /login ..................................... ~ 501.07ms
  2025-08-11 14:54:11 /register .................................. ~ 500.46ms
  2025-08-11 14:54:19 /login ..................................... ~ 500.43ms
  2025-08-11 14:54:20 /forgot-password ............................. ~ 0.13ms
  2025-08-11 14:57:40 /forgot-password ............................. ~ 0.14ms
  2025-08-11 14:57:40 /build/assets/forgot-password-Cjm_QbMy.js .... ~ 0.17ms
  2025-08-11 14:57:40 /build/assets/label-DmOV4isI.js .............. ~ 0.37ms
  2025-08-11 14:57:40 /build/assets/app-DTUrXF5O.css ............... ~ 0.73ms
  2025-08-11 14:57:40 /build/assets/text-link-BpyswlBb.js .......... ~ 1.22ms
  2025-08-11 14:57:40 /build/assets/use-theme-pAbDEJal.js .......... ~ 1.50ms
  2025-08-11 14:57:40 /build/assets/app-Sm6tDAxZ.js ................ ~ 1.75ms
  2025-08-11 14:57:40 /build/assets/card-CGO4ji1e.js ................... ~ 1s
  2025-08-11 14:57:40 /build/assets/auth-layout-BYtMsuwZ.js ............ ~ 1s
  2025-08-11 14:57:41 /build/assets/app-DTUrXF5O.css ............... ~ 0.09ms
  2025-08-11 14:57:42 /favicon.svg ............................... ~ 500.34ms
  2025-08-11 14:57:42 /build/assets/fa-solid-900-BQpGBb1f.woff2 .... ~ 0.05ms
  2025-08-11 14:57:42 /favicon.ico ................................. ~ 0.19ms
  2025-08-11 14:57:44 /login ....................................... ~ 0.13ms
  2025-08-11 14:57:44 /build/assets/login-mPzI-BYE.js .............. ~ 0.14ms
  2025-08-11 14:57:44 /build/assets/createLucideIcon-lKa3CrGk.js ... ~ 0.74ms
  2025-08-11 14:57:51 /forgot-password ............................. ~ 0.13ms
  2025-08-11 14:57:53 /login ....................................... ~ 0.14ms
  2025-08-11 14:58:03 /login ....................................... ~ 0.14ms
  2025-08-11 14:58:03 /login ....................................... ~ 0.06ms
  2025-08-11 14:58:10 /login ..................................... ~ 500.34ms
  2025-08-11 14:58:11 /dashboard ................................. ~ 500.38ms
  2025-08-11 14:58:11 /build/assets/dashboard-BRGVl5bD.js .......... ~ 0.07ms
  2025-08-11 14:58:11 /build/assets/app-layout-DyvapnlO.js ......... ~ 0.30ms
  2025-08-11 14:58:13 /dashboard ................................... ~ 0.15ms
  2025-08-11 14:58:17 /theme/update ................................ ~ 0.14ms
  2025-08-11 14:58:17 /dashboard ................................... ~ 0.05ms
  2025-08-11 14:58:18 /theme/update .............................. ~ 500.41ms
  2025-08-11 14:58:18 /dashboard ................................... ~ 0.04ms
  2025-08-11 14:58:27 /dashboard ................................... ~ 0.15ms
  2025-08-11 14:58:34 /theme/update ................................ ~ 0.13ms
  2025-08-11 14:58:34 /dashboard ................................... ~ 0.04ms
  2025-08-11 14:58:34 /theme/update ................................ ~ 0.13ms
  2025-08-11 14:58:35 /dashboard ................................... ~ 0.18ms
