
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server
  2025-08-11 15:09:16 /.well-known/appspecific/com.chrome.devtools.json  ~ 500.90ms
  2025-08-11 15:09:30 /dashboard ................................... ~ 0.13ms
  2025-08-11 15:09:40 /dashboard ................................... ~ 0.13ms
  2025-08-11 15:11:21 /dashboard ................................... ~ 0.12ms
  2025-08-11 15:11:22 /build/assets/dashboard-CUMKhQuu.js .......... ~ 0.18ms
  2025-08-11 15:11:22 /build/assets/app-DE2WfZp_.css ............... ~ 0.50ms
  2025-08-11 15:11:22 /build/assets/app-layout-febcQNgL.js ......... ~ 0.81ms
  2025-08-11 15:11:22 /build/assets/app-C2ggMSpT.js ................ ~ 1.05ms
  2025-08-11 15:11:22 /build/assets/theme-toggle-CQqD7t95.js ....... ~ 1.81ms
  2025-08-11 15:11:22 /build/assets/createLucideIcon-DgdAuGHI.js ... ~ 2.02ms
  2025-08-11 15:11:22 /.well-known/appspecific/com.chrome.devtools.json  ~ 1s
  2025-08-11 15:11:23 /build/assets/app-DE2WfZp_.css ............... ~ 0.41ms
  2025-08-11 15:11:24 /favicon.svg ................................. ~ 0.15ms
  2025-08-11 15:11:24 /build/assets/app-layout-febcQNgL.js ......... ~ 2.32ms
  2025-08-11 15:11:24 /build/assets/app-C2ggMSpT.js ................ ~ 2.62ms
  2025-08-11 15:11:24 /build/assets/theme-toggle-CQqD7t95.js ....... ~ 0.76ms
  2025-08-11 15:11:24 /build/assets/createLucideIcon-DgdAuGHI.js ... ~ 0.97ms
  2025-08-11 15:11:24 /favicon.ico ............................... ~ 500.35ms
  2025-08-11 15:11:25 /build/assets/fa-solid-900-BQpGBb1f.woff2 .... ~ 0.14ms
  2025-08-11 15:23:47 / ............................................ ~ 0.17ms
  2025-08-11 15:25:53 /dashboard ................................... ~ 0.13ms
  2025-08-11 15:25:53 /build/assets/app-DE2WfZp_.css ............... ~ 0.08ms
  2025-08-11 15:25:53 /build/assets/app-Bg4az_NH.js ................ ~ 0.40ms
  2025-08-11 15:25:53 /build/assets/dashboard-eUOqatXK.js .......... ~ 0.73ms
  2025-08-11 15:25:53 /build/assets/app-layout-CCzRLS2I.js ......... ~ 0.97ms
  2025-08-11 15:25:53 /build/assets/theme-toggle-DMy6xjBP.js ....... ~ 1.88ms
  2025-08-11 15:25:53 /build/assets/createLucideIcon-C2W_7vr4.js ... ~ 2.05ms
  2025-08-11 15:25:54 /build/assets/app-DE2WfZp_.css ............... ~ 0.12ms
  2025-08-11 15:25:54 /build/assets/fa-solid-900-BQpGBb1f.woff2 .. ~ 500.42ms
  2025-08-11 15:25:54 /favicon.svg ............................... ~ 501.02ms
  2025-08-11 15:25:54 /favicon.ico ................................. ~ 0.04ms
  2025-08-11 15:26:15 /logout .................................... ~ 500.38ms
  2025-08-11 15:26:16 / ............................................ ~ 0.04ms
  2025-08-11 15:26:16 /login ....................................... ~ 0.03ms
  2025-08-11 15:26:16 /build/assets/login-KTBbxslA.js .............. ~ 0.16ms
  2025-08-11 15:26:16 /build/assets/label-DbI1oedz.js .............. ~ 0.51ms
  2025-08-11 15:26:16 /build/assets/text-link-BNcn9t7l.js .......... ~ 0.82ms
  2025-08-11 15:26:16 /build/assets/card-DjBASTiW.js ............... ~ 1.02ms
  2025-08-11 15:26:16 /build/assets/auth-layout-BdbB_7Vv.js ........ ~ 1.78ms
  20.106.56.201:34602 Invalid request (Unexpected EOF)
  2025-08-11 15:37:55 ................................................. ~ 10s
